Thibaut_Courtois Male Madridista1 010556677 0000 100
Andriy_Lunin Male Madridista13 010456345 0001 100
Kepa_Arrizabalaga Male Madridista25 010456345 0010 100
Éder_Militão Male Madridista3 010456345 0011 100
David_Alaba Male Madridista4 010456345 0100 100
Antonio_Rüdiger Male Madridista22 010456345 0101 100
Nacho_Fernández Male Madridista6 010456345 0110 100
Ferland_Mendy Male Madridista23 010456345 0111 100
Fran_García Male Madridista20 010456345 1000 100
Daniel_Carvajal Male Madridista2 010456345 1001 100
Lucas_Vázquez Male Madridista17 010456345 1010 100
Aurélien_Tchouaméni Male Madridista18 010456345 1011 100
Federico_Valverde Male Madridista15 010456345 1100 100
Eduardo_Camavinga Male Madridista12 010456345 1101 100
Toni_Kroos Male Madridista8 010456345 1111 100
Luka_Modric Male Madridista10 010456345 10000 100
Dani_Ceballos Male Madridista19 010456345 10001 100
Jude_Bellingham Male Madridista5 010456345 10010 100
Brahim_Díaz Male Madridista21 010456345 10011 100
Arda_Güler Male Madridista24 010456345 10100 100
Nico_Paz Male Madridista32 010456345 10101 100
Vinicius_Junior Male Madridista7 010456345 10111 100
Rodrygo Male Madridista11 010456345 11000 100
Joselu Male Madridista14 010456345 11000 100
